ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW7,AW8,AW9A,AW9B,AW9C,AW19,AW20,AW21
660,838,2,1,1,1,,2,2,0,2,,,,27,4,8,,,2,,1,1,0,2,1,4,1.242,2.486,6,1,3,4,2,,1,,2,1,2,2,3,1,,3
661,838,1,2,2,3,4,7,4,2,2,1,0,2,31,2,6,,,2,,1,1,0,2,2,4,0.636,2.736,8,2,,,,,,,,,,,,1,,2
662,838,1,2,1,1,,4,2,1,1,1,1,0,38,3,8,,,2,,1,3,0,1,1,4,1.144,2.289,6,1,4,5,2,,1,,2,1,2,1,1,3,1,3
663,838,1,2,1,3,1,2,2,1,1,,,,73,2,6,,,2,,5,9,0,2,1,4,1.062,2.125,6,1,3,5,9,,,9,9,1,3,2,3,9,9,4
664,838,1,2,1,1,,3,3,2,1,,,,49,6,8,,,2,,2,2,1,2,1,4,0.724,1.448,6,1,4,5,2,,1,,2,7,3,2,3,2,,5
665,838,2,1,1,3,1,1,,1,0,,,,82,2,1,,,2,,2,2,0,1,1,3,1.001,1.022,21,1,4,5,2,,1,,2,2,1,1,3,2,,1
666,838,2,5,1,3,4,4,1,0,1,0,3,0,29,3,2,,,2,,2,2,0,2,1,4,2.131,2.133,6,1,4,3,2,,2,,8,7,2,3,2,2,,2
667,838,1,2,1,1,,3,2,1,1,0,0,1,32,2,2,,,2,,1,2,0,1,1,1,0.943,1.922,42,1,3,3,2,,1,,2,7,2,1,3,2,,4
668,838,2,1,1,1,,4,4,2,2,,,,33,2,4,,,2,,1,1,1,2,1,3,0.473,1.819,12,2,,,,,,,,,,,,1,,3
669,838,1,4,1,3,5,1,,0,1,,,,62,6,1,,,2,,2,3,0,2,1,1,0.976,1.988,42,1,2,5,9,,,2,2,2,3,3,3,3,7,5
670,838,2,1,1,1,,2,2,0,2,,,,50,3,6,,,2,,1,1,0,2,1,1,0.611,1.245,34,1,3,5,8,,,2,2,1,2,1,2,1,,3
671,838,1,2,1,1,,2,2,1,1,,,,39,2,7,,,2,,1,2,0,1,1,2,0.63,1.209,26,1,3,5,2,,1,,2,1,3,1,2,2,,2
672,838,1,1,1,3,1,1,,1,0,,,,59,2,2,,,2,,1,2,0,1,1,2,0.733,0.705,39,1,4,5,2,,1,,2,2,2,2,3,2,,7
673,838,2,2,1,1,,3,2,1,1,0,1,0,32,2,7,,,2,,1,2,0,2,1,2,0.827,1.587,26,1,3,3,2,,1,,2,1,4,2,3,2,,2
674,838,1,2,1,3,4,6,3,2,1,0,3,0,53,2,4,,,2,,2,2,0,1,1,3,1.063,4.081,12,1,4,5,2,,1,,2,2,2,1,1,2,,1
675,838,1,2,1,2,,3,3,2,1,,,,55,3,7,,,2,,1,2,0,2,2,1,0.396,0.854,33,2,,,,,,,,,,,,2,,3
676,838,1,2,1,3,2,4,2,1,1,1,1,0,33,2,7,,,2,,1,2,0,2,2,3,0.687,1.539,54,1,3,4,1,2,,,1,7,2,2,2,2,,3
677,838,8,2,1,1,,3,2,1,1,0,1,0,30,2,7,,,2,,1,1,1,2,2,1,0.323,0.635,36,2,,,,,,,,,,,,1,,8
