ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,WP1,WP2,WP3,WP4A,WP4B,WP4C,WP5,WP6
44,928,1,2,1,3,1,2,2,1,1,,,,63,5,4,,,2,,1,2,0,1,2,3,0.497,0.952,21,3,5,2,,2,,,
45,928,2,1,1,3,4,1,,1,0,,,,23,2,1,,,2,,1,3,0,1,2,2,0.439,0.452,26,3,4,8,,,,,3
46,928,2,1,1,1,,2,2,1,1,,,,26,2,5,,,2,,1,3,0,2,2,3,0.466,1.045,37,4,5,1,2,,,,
47,928,2,5,1,2,,3,2,0,2,1,0,0,45,1,1,,,2,,1,8,0,2,2,3,1.091,2.442,37,2,4,2,,8,,,
48,928,2,1,1,1,,2,2,1,1,,,,33,2,3,,,2,,1,3,0,2,1,2,0.847,1.569,17,3,5,2,,2,,,
49,928,1,2,1,3,2,4,2,1,1,0,1,1,36,2,5,,,2,,1,2,0,2,1,2,0.759,1.406,17,3,5,2,,1,,,
50,928,2,1,1,1,,3,2,1,1,0,0,1,23,2,4,,,2,,1,2,0,1,1,2,0.769,1.424,55,3,5,2,,2,,,
51,928,1,2,1,1,,6,3,2,1,3,0,0,40,4,9,,2,2,,2,1,0,1,1,2,1.554,5.761,39,4,5,2,,1,,,
52,928,2,1,2,1,,5,3,2,1,2,0,0,20,3,3,,,2,,1,3,0,1,2,2,0.684,2.514,31,3,1,3,,,1,1,
53,928,1,4,1,2,,1,,0,1,,,,78,3,6,,,2,,1,2,0,2,2,3,1.152,2.226,5,4,5,2,,1,,,
54,928,1,1,2,3,3,5,4,2,2,1,0,0,18,1,7,,,2,,1,3,0,1,2,3,0.595,2.279,21,3,5,1,1,,,,
55,928,1,2,1,3,1,2,2,1,1,,,,77,1,1,,,2,,1,2,0,1,1,1,2.393,3.864,25,2,4,2,,1,,,
56,928,1,4,1,3,1,3,3,2,1,,,,75,1,1,,,2,,1,1,0,2,2,1,1.314,3.385,36,2,3,3,,,2,2,
57,928,1,2,1,1,,3,2,1,1,0,0,1,24,2,6,,,2,,1,3,0,1,2,2,0.406,0.837,39,3,1,3,,,1,7,
58,928,2,1,1,1,,3,3,2,1,,,,23,3,4,,,2,,2,3,0,1,1,1,1.797,6.525,36,2,5,2,,2,,,
59,928,1,2,1,1,,4,3,1,2,1,0,0,36,3,8,,,2,,1,2,1,2,2,3,0.294,1.124,21,2,5,3,,,2,2,
60,928,1,5,1,1,,1,,1,0,,,,30,3,9,,1,2,,1,3,0,1,1,1,0.566,0.457,25,4,5,3,,,1,1,
61,928,2,2,1,1,,4,2,1,1,0,1,1,28,4,9,,1,2,,2,2,0,1,1,1,1.713,3.11,36,1,1,2,,2,,,
62,928,2,2,1,3,5,2,2,1,1,,,,22,2,3,,,2,,5,2,0,2,1,3,1.615,2.683,40,3,4,2,,1,,,
63,928,1,2,1,3,1,2,2,1,1,,,,62,5,6,,,1,1,,2,0,1,1,3,0.986,1.637,48,4,5,9,,,,,9
64,928,1,1,1,1,,1,,0,1,,,,31,3,7,,,2,,1,1,0,2,1,4,1.262,2.386,6,4,5,8,,,,,8
65,928,1,1,1,3,1,2,2,1,1,,,,75,5,5,,,2,,1,1,0,1,1,4,0.745,1.679,8,4,5,3,,,2,1,
66,928,1,5,1,2,,1,,0,1,,,,54,4,1,,,2,,1,3,0,2,1,4,0.753,1.424,6,4,5,3,,,1,2,
67,928,2,5,1,1,,2,2,1,1,,,,34,2,2,,,1,1,,3,0,2,1,4,1.262,2.386,6,3,5,3,,,1,2,
68,928,1,2,1,1,,3,2,1,1,1,0,0,47,3,9,,1,2,,2,3,0,1,1,4,3.534,6.68,6,3,5,3,,,1,1,
69,928,1,2,1,3,2,3,2,1,1,0,1,0,36,2,4,,,2,,1,2,0,2,2,4,0.847,1.466,16,3,5,2,,1,,,
70,928,2,2,1,1,,2,2,1,1,,,,31,2,5,,,2,,1,3,0,1,2,2,0.555,1.02,31,2,1,3,,,2,2,
