ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW7,AW8,AW9,AW10,AW11,AW12A,AW12B,AW12C,AW12D,AW13,AW14,AW15,AW16A,AW16B,AW17,AW18,AW19,AW20,AW21
993,837,1,2,1,3,1,2,2,1,1,,,,67,1,3,,,2,,2,2,0,1,1,2,2.399,4.985,39,1,2,5,2,,1,,2,2,3,2,,3,3,3,3,2,2,8,,,7,3,2,,4
994,837,1,2,1,1,,2,2,1,1,,,,58,4,8,,,2,,1,3,0,1,1,2,1.214,2.019,27,1,4,5,1,1,,,1,1,1,1,2,1,3,1,1,1,1,2,9,,9,9,3,2,4
995,837,2,1,1,1,,1,,1,0,,,,57,2,7,,,2,,1,2,0,1,1,2,0.627,0.652,55,1,3,5,0,,,2,3,2,2,2,,3,3,3,3,2,1,1,,2,3,3,2,,5
996,837,1,2,1,1,,6,2,1,1,3,1,0,43,5,7,,,2,,1,3,1,1,2,2,0.367,0.785,19,1,3,4,8,,,8,8,1,2,2,,1,2,1,1,3,2,7,,,3,3,3,2,3
997,837,2,1,2,3,4,3,3,2,1,,,,30,2,1,,,2,,2,2,0,1,1,2,1.167,4.851,17,1,1,5,2,,1,,2,7,2,2,,1,2,1,3,2,2,7,,,3,3,2,,4
998,837,1,1,1,1,,2,2,1,1,,,,25,5,99,9,,2,,1,3,0,1,1,2,0.553,1.148,17,1,3,5,2,,2,,3,1,3,8,,1,3,1,3,2,3,8,,,3,3,3,1,3
999,837,1,4,1,1,,1,,1,0,,,,34,2,4,,,2,,1,3,0,1,2,2,0.729,0.693,17,2,,,,,,,,,,,,,,,,,,,,,,,3,1,2
1000,837,2,1,1,1,,1,,1,0,,,,32,2,2,,,2,,2,1,0,1,1,2,1.167,1.213,55,2,,,,,,,,,,,,,,,,,,,,,,,1,,5
1001,837,1,1,1,3,3,3,3,1,2,,,,24,3,5,,,2,,2,2,1,1,1,2,0.463,0.961,26,2,,,,,,,,,,,,,,,,,,,,,,,2,,3
1002,837,1,2,1,1,,5,2,1,1,2,0,1,42,2,6,,,2,,1,1,0,1,2,4,0.828,1.837,49,2,,,,,,,,,,,,,,,,,,,,,,,1,,4
1003,837,2,1,1,1,,2,2,2,0,,,,99,4,6,,,2,,5,1,0,1,1,4,1.205,2.321,6,2,,,,,,,,,,,,,,,,,,,,,,,1,,5
1004,837,1,4,1,3,1,1,,1,0,,,,79,3,4,,,2,,1,1,0,1,1,4,1.346,1.296,6,1,4,5,1,1,,,1,1,3,1,2,1,3,1,1,3,1,2,1,,3,3,1,,4
1005,837,2,2,1,1,,4,2,1,1,0,0,2,26,5,2,,,2,,1,2,0,1,1,4,0.905,1.741,6,1,3,5,2,,1,,2,2,3,2,,1,2,3,3,3,2,7,,,3,3,2,,3
1006,837,2,1,1,1,,1,,1,0,,,,21,3,3,,,2,,5,1,0,1,1,4,1,0.962,6,2,,,,,,,,,,,,,,,,,,,,,,,1,,5
1007,837,1,2,1,3,4,3,2,1,1,0,1,0,43,3,9,,2,2,,1,3,0,1,1,4,1.173,2.259,6,1,3,5,1,2,,,1,1,3,2,,1,2,1,1,2,3,7,,,3,3,3,2,4
1008,837,1,2,1,1,,8,2,1,1,3,3,1,39,3,5,,,2,,1,1,0,1,1,4,1.257,2.527,49,1,3,5,1,1,,,1,1,3,1,2,1,2,1,3,3,2,2,2,,3,3,1,,4
1009,837,1,2,1,3,1,3,3,2,1,,,,63,5,8,,,2,,1,3,0,1,1,4,0.788,3.17,49,1,3,5,2,,2,,2,2,3,2,,1,2,3,1,2,1,7,,,3,3,3,7,3
1010,837,1,2,1,1,,5,2,1,1,2,1,0,43,3,7,,,2,,1,1,1,1,1,4,0.587,1.129,6,1,3,5,1,1,,,1,1,3,2,,1,2,1,1,2,3,8,,,3,3,1,,4
1011,837,2,1,2,1,,5,5,5,0,,,,23,3,6,,,2,,2,1,0,1,1,4,1.514,2.914,6,1,2,5,2,,2,,2,1,3,1,2,1,2,3,3,2,3,2,2,,2,3,1,,3
1012,837,2,2,1,1,,5,2,1,1,1,1,1,25,2,3,,,1,1,,3,0,1,1,4,1.351,2.715,4,2,,,,,,,,,,,,,,,,,,,,,,,3,1,5
1013,837,1,5,1,1,,1,,1,0,,,,48,2,7,,,2,,1,3,0,1,1,4,0.849,0.817,6,1,3,5,2,,2,,2,7,3,1,1,3,1,3,1,2,2,7,,,3,3,3,1,4
